episode,score,return,epsilon,best_score,steps,loss
2064,2,0.4808000000000001,0.21567999999999998,6,50,0.004544412717223167
2065,0,-1.041,0.21530000000000005,6,5,0.00658451858907938
2066,0,-1.0,0.21492,6,1,0.014240472577512264
2067,1,-0.3276000000000001,0.21454000000000006,6,32,0.014106414280831814
2068,0,-1.0101,0.21416000000000002,6,2,0.00904122181236744
2069,2,0.4530000000000005,0.21378000000000008,6,52,0.0093722864985466
2070,2,0.4019999999999999,0.21340000000000003,6,57,0.007413897197693586
2071,0,-1.0621,0.21302,6,7,0.015396004542708397
2072,4,2.4656999999999987,0.21264000000000005,6,55,0.007009780500084162
2073,4,2.6172999999999997,0.21226,6,41,0.00482239481061697
2074,1,-0.1492,0.21188000000000007,6,16,0.008011696860194206
2075,5,3.3983999999999988,0.21150000000000002,6,63,0.009626728482544422
2076,1,-0.38059999999999994,0.21111999999999997,6,36,0.007801462896168232
2077,1,-0.3304,0.21074000000000004,6,32,0.008521167561411858
2078,2,0.8767000000000003,0.21036,6,15,0.009289231151342392
2079,2,0.8106,0.20998000000000006,6,21,0.00820703711360693
2080,0,-1.0,0.20960000000000012,6,1,0.004338991828262806
2081,1,-0.16059999999999997,0.20921999999999996,6,17,0.00917587149888277
2082,0,-1.0,0.20884000000000003,6,1,0.005751568358391523
2083,0,-1.0101,0.20845999999999998,6,2,0.006041773594915867
2084,3,1.7780999999999998,0.20808000000000004,6,25,0.010007545351982117
2085,1,-0.11560000000000004,0.2077000000000001,6,13,0.010291647166013718
2086,2,0.7694000000000005,0.20732000000000006,6,25,0.006276007741689682
2087,3,1.7043,0.20694,6,32,0.007816461846232414
2088,0,-1.0728,0.20655999999999997,6,8,0.006726744584739208
2089,0,-1.0306,0.20618000000000003,6,4,0.007594600785523653
2090,0,-1.0515,0.2058000000000001,6,6,0.0069552576169371605
2091,1,-0.18230000000000002,0.20542000000000005,6,19,0.006598778069019318
2092,2,0.6900999999999999,0.20504,6,32,0.006888499949127436
2093,1,-0.0937,0.20465999999999995,6,11,0.014088320545852184
2094,0,-1.1055,0.20428000000000002,6,11,0.00673028314486146
2095,0,-1.0,0.20390000000000008,6,1,0.00979322474449873
2096,4,2.6766999999999994,0.20352000000000003,6,36,0.00863204337656498
2097,7,4.626599999999997,0.2031400000000001,7,127,0.013380448333919048
2098,0,-1.209,0.20276000000000005,7,20,0.010770982131361961
2099,3,1.7604000000000002,0.20238,7,27,0.006664934102445841
2100,2,0.7034,0.20200000000000007,7,31,0.006785486824810505
2101,2,0.8076000000000001,0.20162000000000002,7,21,0.005085890181362629
2102,2,0.7263999999999999,0.20124000000000009,7,29,0.006669029593467712
2103,5,3.5317999999999996,0.20086000000000004,7,50,0.008328662253916264
2104,2,0.5558000000000005,0.20048,7,44,0.005545072257518768
2105,1,-0.11359999999999992,0.20010000000000006,7,13,0.007537391968071461
2106,1,-0.17359999999999998,0.19972,7,18,0.010514345951378345
2107,4,2.5327000000000006,0.19934000000000007,7,48,0.00864345021545887
2108,4,2.3984999999999994,0.19896000000000014,7,61,0.011722682043910027
2109,1,-0.19389999999999996,0.19857999999999998,7,20,0.0074084447696805
2110,1,-0.20299999999999996,0.19820000000000004,7,21,0.009674141183495522
2111,3,1.5568,0.19782,7,45,0.010182719677686691
2112,3,1.6957999999999998,0.19744000000000006,7,33,0.005078005604445934
2113,3,1.7892000000000006,0.19706000000000012,7,24,0.008066398091614246
