game,score,steps,duration_sec,reason
578,64,1233,10.588,wall
579,36,535,4.645,self
580,31,462,3.975,self
581,0,640,5.535,hunger
582,32,560,4.81,self
583,0,640,5.526,hunger
584,21,330,2.848,self
585,36,562,4.814,self
586,8,169,1.464,self
587,45,756,6.492,self
588,45,729,6.27,self
589,49,878,7.547,self
590,41,687,5.898,self
591,56,941,8.086,wall
592,38,678,5.826,self
593,23,395,3.395,wall
594,48,851,7.342,self
595,32,495,4.226,self
596,52,981,8.462,self
597,32,515,4.453,wall
598,39,654,5.69,self
599,27,469,4.042,self
600,37,633,5.418,self
601,25,493,4.247,self
602,54,860,7.438,self
603,24,402,3.452,wall
604,52,832,7.144,wall
605,18,322,2.78,self
606,68,1221,10.474,self
607,50,765,6.589,self
608,25,410,3.539,self
609,31,522,4.487,self
610,24,449,3.904,self
611,25,435,3.742,self
612,17,260,2.234,self
613,40,696,5.987,self
614,46,805,6.926,self
615,48,809,6.917,self
616,52,1019,8.733,wall
617,27,448,3.843,wall
618,0,640,5.532,hunger
619,23,377,3.263,self
620,35,619,5.318,wall
621,52,838,7.199,self
622,12,224,1.917,self
623,15,269,2.321,self
624,70,1255,10.75,wall
625,27,493,4.253,self
626,26,467,4.011,self
627,33,534,4.578,self
628,23,362,3.103,self
629,33,509,4.369,self
630,45,802,6.877,self
631,26,407,3.511,wall
632,27,438,3.766,self
633,47,736,6.314,self
634,16,288,2.48,self
635,35,540,4.644,wall
636,49,905,7.772,self
637,31,534,4.585,self
638,18,302,2.587,self
639,55,981,8.408,wall
640,40,677,6.075,self
641,37,557,4.841,self
642,26,431,3.722,self
643,59,1218,10.569,self
644,51,886,7.604,self
645,55,898,7.906,self
646,21,446,3.922,self
647,25,369,3.25,self
648,31,465,4.162,self
649,10,169,1.455,self
650,32,644,5.544,self
651,45,805,6.923,self
652,21,341,2.936,self
653,19,348,3.002,wall
654,24,368,3.183,wall
655,39,696,5.976,self
656,11,169,1.441,wall
657,0,640,5.521,hunger
658,29,561,4.836,wall
659,19,283,2.436,wall
660,27,440,3.783,self
661,36,581,5.016,self
662,21,943,8.162,hunger
663,27,469,4.024,wall
664,31,536,4.611,wall
665,43,632,5.518,self
666,13,234,2.167,self
667,36,587,5.079,wall
668,16,258,2.257,self
669,46,741,6.391,self
670,55,900,7.729,self
671,28,410,3.532,wall
672,30,483,4.166,self
673,11,155,1.347,self
674,38,694,5.964,self
675,28,456,3.918,self
676,32,473,4.059,self
677,35,562,4.834,self
678,63,1093,9.716,self
679,14,254,2.183,self
680,20,334,2.863,wall
681,40,733,6.292,self
682,44,832,7.155,self
683,69,1244,10.662,wall
684,28,414,3.575,self
685,40,678,5.842,self
686,41,719,6.143,wall
687,47,899,7.735,self
688,16,225,1.983,self
689,9,201,1.722,self
690,12,188,1.622,self
691,37,563,4.856,self
692,22,393,3.371,self
693,17,936,8.055,hunger
694,37,603,5.199,self
695,31,525,4.514,self
696,27,551,4.787,self
697,23,412,3.574,wall
698,36,632,5.479,wall
699,34,532,4.568,self
700,45,747,6.429,self
701,0,640,5.532,hunger
702,35,555,4.79,self
703,41,768,6.611,self
704,25,362,3.117,self
705,37,619,5.342,self
706,37,488,4.208,self
707,31,447,3.919,self
708,39,719,6.197,wall
709,16,294,2.526,self
710,54,1177,10.184,self
711,49,902,7.812,self
712,20,315,2.752,self
713,34,551,4.758,self
714,23,376,3.228,self
715,35,593,5.163,wall
716,28,494,4.267,self
717,25,423,3.642,self
718,32,532,4.635,wall
719,29,497,4.306,self
720,34,638,5.51,self
721,50,882,7.634,self
722,43,750,6.462,self
723,52,891,7.689,self
724,54,954,8.274,self
725,49,753,6.467,self
726,21,372,3.278,wall
727,37,589,5.217,self
728,41,677,5.829,self
729,11,185,1.599,self
730,26,407,3.534,self
731,30,487,4.198,self
732,30,581,4.984,self
733,24,329,2.823,self
734,9,138,1.198,wall
735,20,341,2.943,self
